"partition_description", "runtime (milliseconds)"
,35825
c_acctbal,75423
c_mktsegment,23538
c_nationkey,24478
c_phone,72062
l_commitdate,44263
l_discount,25104
l_quantity,26271
l_receiptdate,44141
l_returnflag,23685
l_shipdate,43911
l_shipinstruct,23541
l_shipmode,24034
n_name,22575
n_nationkey,24621
n_regionkey,23662
o_orderdate,31238
o_orderpriority,25013
o_orderstatus,22651
p_brand,23548
p_container,24669
p_size,24176
p_type,24332
ps_availqty,53877
ps_supplycost,201461
r_name,24572
r_regionkey,23671
s_nationkey,23269
c_acctbal-l_commitdate,90603
c_acctbal-l_discount,73741
c_acctbal-l_quantity,73955
c_acctbal-l_receiptdate,91268
c_acctbal-l_returnflag,70594
c_acctbal-l_shipdate,85628
c_acctbal-l_shipinstruct,71802
c_acctbal-l_shipmode,71537
c_mktsegment-l_commitdate,43493
c_mktsegment-l_discount,25143
c_mktsegment-l_quantity,26397
c_mktsegment-l_receiptdate,44043
c_mktsegment-l_returnflag,22921
c_mktsegment-l_shipdate,41496
c_mktsegment-l_shipinstruct,22968
c_mktsegment-l_shipmode,24267
c_nationkey-l_commitdate,45211
c_nationkey-l_discount,26293
c_nationkey-l_quantity,27001
c_nationkey-l_receiptdate,44326
c_nationkey-l_returnflag,23747
c_nationkey-l_shipdate,41867
c_nationkey-l_shipinstruct,23046
c_nationkey-l_shipmode,25204
c_phone-l_commitdate,90923
c_phone-l_discount,73131
c_phone-l_quantity,74173
c_phone-l_receiptdate,89236
c_phone-l_returnflag,71324
c_phone-l_shipdate,90336
c_phone-l_shipinstruct,71964
c_phone-l_shipmode,72763
c_acctbal-n_name,69715
c_acctbal-n_nationkey,70430
c_acctbal-n_regionkey,69550
c_mktsegment-n_name,24019
c_mktsegment-n_nationkey,24681
c_mktsegment-n_regionkey,23870
c_nationkey-n_name,24275
c_nationkey-n_nationkey,25318
c_nationkey-n_regionkey,23914
c_phone-n_name,71409
c_phone-n_nationkey,69949
c_phone-n_regionkey,69985
c_acctbal-o_orderdate,75509
c_acctbal-o_orderpriority,69881
c_acctbal-o_orderstatus,70143
c_mktsegment-o_orderdate,28956
c_mktsegment-o_orderpriority,22774
c_mktsegment-o_orderstatus,23495
c_nationkey-o_orderdate,31722
c_nationkey-o_orderpriority,24296
c_nationkey-o_orderstatus,24190
c_phone-o_orderdate,76100
c_phone-o_orderpriority,70217
c_phone-o_orderstatus,69525
c_acctbal-p_brand,69023
c_acctbal-p_container,70268
c_acctbal-p_size,70535
c_acctbal-p_type,69370
c_mktsegment-p_brand,22693
c_mktsegment-p_container,23490
c_mktsegment-p_size,22744
c_mktsegment-p_type,23445
c_nationkey-p_brand,24775
c_nationkey-p_container,24041
c_nationkey-p_size,25440
c_nationkey-p_type,24920
c_phone-p_brand,70229
c_phone-p_container,71319
c_phone-p_size,69487
c_phone-p_type,71381
c_acctbal-ps_availqty,101537
c_acctbal-ps_supplycost,244505
c_mktsegment-ps_availqty,53147
c_mktsegment-ps_supplycost,195282
c_nationkey-ps_availqty,52893
c_nationkey-ps_supplycost,197994
c_phone-ps_availqty,102086
c_phone-ps_supplycost,244540
c_acctbal-r_name,71472
c_acctbal-r_regionkey,71278
c_mktsegment-r_name,22856
c_mktsegment-r_regionkey,23444
c_nationkey-r_name,24634
c_nationkey-r_regionkey,24603
c_phone-r_name,71453
c_phone-r_regionkey,71028
c_acctbal-s_nationkey,71151
c_mktsegment-s_nationkey,23190
c_nationkey-s_nationkey,23763
c_phone-s_nationkey,70349
l_commitdate-n_name,46068
l_commitdate-n_nationkey,43806
l_commitdate-n_regionkey,45210
l_discount-n_name,24866
l_discount-n_nationkey,24986
l_discount-n_regionkey,25342
l_quantity-n_name,27465
l_quantity-n_nationkey,29616
l_quantity-n_regionkey,26874
l_receiptdate-n_name,44824
l_receiptdate-n_nationkey,43539
l_receiptdate-n_regionkey,46026
l_returnflag-n_name,22439
l_returnflag-n_nationkey,23837
l_returnflag-n_regionkey,23314
l_shipdate-n_name,42727
l_shipdate-n_nationkey,42620
l_shipdate-n_regionkey,42025
l_shipinstruct-n_name,23850
l_shipinstruct-n_nationkey,23857
l_shipinstruct-n_regionkey,23332
l_shipmode-n_name,24345
l_shipmode-n_nationkey,25834
l_shipmode-n_regionkey,24366
l_commitdate-o_orderdate,54420
l_commitdate-o_orderpriority,44601
l_commitdate-o_orderstatus,46485
l_discount-o_orderdate,31842
l_discount-o_orderpriority,24854
l_discount-o_orderstatus,24718
l_quantity-o_orderdate,34158
l_quantity-o_orderpriority,27318
l_quantity-o_orderstatus,27552
l_receiptdate-o_orderdate,51528
l_receiptdate-o_orderpriority,45384
l_receiptdate-o_orderstatus,42577
l_returnflag-o_orderdate,29550
l_returnflag-o_orderpriority,23093
